Year,1967,1969,1970,1972,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Rate,12.5,12.5,12.5,17,17,17.35,18.11,18.30,18.29,18.98,20.14,34.9,46.72,96.1,143.2,312.5,410.99,742.34,2714.6,33060
