    AUS        AUT       BEL        CAN     DNK        FIN      FRA       DEU       ITA         JPN       NLD      NOR        SWE     GBR       USA  
   3390.1    1984.9    2407.1    2799.6    2247.3    1295.2    1934.2    1162.5    1789.0     795.4    2400.1    1572.6    1797.8    3068.2    3786.3 
   3127.6    1647.9    2239.8    2543.4    2355.5    1227.6    1796.4     978.6    1746.2     760.9    2293.3    1591.0    1769.7    3072.2    3428.1 
   3074.1    1519.3    2201.3    2703.5    2174.2    1154.7    1802.9     928.0    1913.2     820.1    2327.3    1642.2    1758.2    3315.3    3474.5 
   3202.8    1505.6    2327.7    2946.5    2236.3    1161.6    1922.4     939.5    2109.4     934.9    2345.4    1678.5    1723.3    3380.4    3899.2 
   3126.8    1480.8    2010.2    3013.3    2085.7     970.1    1653.5     945.4    2161.0     955.1    2150.0    1508.5    1500.4    3405.2    3748.5 
   3085.5    1463.6    1637.2    2806.0    1998.2     840.5    1329.7     955.7    2214.2     957.0    1987.3    1437.5    1470.5    3431.2    4042.2 
   2939.5    1293.0    1935.7    2564.9    2218.6    1017.5    1569.0     929.8    1873.7    1048.1    2443.6    1664.7    1549.7    3034.7    4057.5 
   2958.8    1381.7    2261.1    2478.2    2290.8    1132.5    1800.9    1005.0    1729.5     972.7    2501.7    1748.1    1627.0    2832.5    3966.0 
   3169.4    1517.9    2314.7    2218.4    2196.3    1156.3    1715.9    1106.5    1687.6    1066.7    2627.1    1583.7    1552.8    2581.5    3802.0 
   3240.0    1648.1    2516.8    2502.8    2391.6    1262.8    2014.9    1197.5    1768.5    1050.4    2726.6    1750.6    1687.4    2696.5    3957.1 
   3284.8    1627.9    2584.7    2629.4    2616.9    1341.9    2094.8     988.5    1855.2    1037.9    2747.8    1777.3    1769.4    2767.9    4403.1 
   3384.4    1811.5    2643.6    2616.6    2599.3    1364.7    2332.5    1150.0    1875.8    1053.4    2902.2    1758.4    1817.7    2861.7    4451.9 
   3368.8    1928.5    2660.1    2835.5    2513.3    1428.6    2325.2    1269.7    1991.7    1081.4    2982.6    1854.8    1877.4    2991.7    4487.6 
   3320.5    1954.9    2727.4    2941.9    2639.2    1467.7    2371.5    1295.9    1990.5    1073.6    3176.3    1884.4    1976.5    2870.5    4716.1 
   3320.0    2007.8    2807.0    3166.8    2673.8    1569.1    2318.2    1416.9    1922.7    1072.5    3263.1    1948.4    2032.4    3090.8    4697.6 
   3199.2    2094.8    2930.3    3374.9    2747.0    1661.2    2473.1    1470.4    2050.7    1142.9    3390.8    2004.9    2123.2    3115.2    4692.5 
   3145.6    2118.4    2881.7    3307.2    2913.4    1667.1    2628.6    1456.5    2096.4    1162.0    3372.5    2183.6    2246.6    3200.4    4927.8 
   2983.7    2053.8    2838.6    3143.9    3065.8    1635.7    2529.0    1428.5    1966.9    1061.4    3321.4    2334.7    2286.2    3164.0    4407.9 
   2837.0    1883.1    2771.2    2624.3    3076.4    1583.5    2363.6    1312.8    1931.2    1053.9    3073.9    2140.8    2196.2    2988.2    4009.0 
   2921.4    1683.7    2627.0    2408.7    2967.4    1564.6    2209.5    1208.5    1965.3    1125.2    2985.1    2269.4    2128.8    2993.9    3450.1 
   3039.0    1622.8    2668.6    2214.1    3036.9    1657.8    2365.8    1278.3    1948.9    1217.5    2938.4    2310.6    2161.0    3069.0    3359.4 
   3106.3    1633.3    2636.3    2420.9    3101.0    1833.7    2339.3    1387.1    1932.6    1203.7    2848.5    2371.3    2317.7    3260.9    3600.3 
   3194.9    1664.8    2790.5    2589.0    3145.5    1897.7    2280.3    1481.1    2099.6    1216.3    2922.4    2460.2    2457.6    3372.3    3861.6 
   3303.4    1715.3    2801.4    2701.7    3200.1    2011.9    2368.5    1600.1    2082.9    1287.5    3076.6    2597.3    2593.0    3509.7    4385.5 
   3433.1    1807.5    2828.5    2926.5    3253.9    2111.6    2503.9    1760.9    2203.0    1328.0    3220.7    2676.2    2708.4    3615.8    4573.1 
   3437.3    2038.8    2755.2    2972.2    3307.8    2202.6    2492.5    1978.2    2215.2    1405.0    3112.2    2727.6    2743.8    3644.1    4330.8 
   3427.7    2346.0    2936.1    3115.7    3440.2    2091.1    2675.0    2053.2    2356.8    1615.4    3286.7    2839.9    2920.2    3641.8    4635.8 
   3613.6    2267.7    2600.9    3500.6    2936.9    1976.1    2255.8    2051.5    2347.5    1648.8    2864.2    2570.7    2820.6    3987.0    4965.2 
   3980.8    2415.6    2484.8    3935.4    2625.5    2038.6    1846.9    2169.3    2298.4    1647.8    2686.3    2617.8    2853.4    4350.8    5784.1 
   4399.8    2281.2    2278.8    4556.9    2656.9    2041.6    1663.9    2180.9    2256.5    1616.6    2434.6    2500.2    3007.2    4442.2    6802.5 
   4515.1    2328.1    2226.5    4701.1    2916.1    2268.4    1596.2    2237.1    2030.9    1618.5    2359.8    2431.8    3112.2    4503.2    7931.3 
   4315.7    2378.2    2344.6    4814.6    3181.9    2260.9    1351.5    2312.6    1638.8    1525.2    1570.5    2283.8    3184.2    4306.5    8477.3 
   4056.6     987.8    2470.4    4619.9    2908.1    2116.7    1436.0    1688.6    1274.8     772.2    1592.5    2533.5    3233.0    4103.4    8229.4 
   3866.1    1120.6    2607.6    4492.8    3316.0    2260.0    2151.5     950.4    1663.8     834.9    2642.1    2772.6    3543.5    3922.6    6584.7 
   3905.8    1240.9    2737.0    4591.2    3464.2    2280.8    2309.3    1673.5    1938.9     890.8    2992.6    3053.0    3585.9    3840.7    6273.2 
   4084.3    1583.4    2864.4    4576.9    3541.3    2428.2    2451.8    1949.4    2034.6     997.5    3254.7    3259.1    3653.8    3922.8    6402.0 
   4239.1    1886.2    2961.1    4580.1    3666.2    2542.4    2760.4    2226.8    2170.7    1040.6    3486.1    3288.9    3748.2    4045.0    6297.2 
   4389.2    2122.8    3114.4    4822.0    3893.0    2610.1    2941.3    2508.1    2323.3    1126.0    3554.5    3435.7    3912.6    4170.6    6696.8 
   4446.1    2267.7    3276.8    4983.8    3835.1    2805.4    3098.7    2739.9    2482.5    1245.2    3576.0    3561.0    4036.0    4302.9    7259.1 
   4374.6    2272.3    3231.9    5182.7    3879.7    2868.2    3158.2    2962.4    2578.8    1368.5    3606.7    3652.8    4062.1    4278.8    7411.6 
   4415.2    2369.4    3317.5    5282.1    4070.9    2854.9    3227.2    3176.7    2757.4    1449.7    3878.3    3783.0    4148.8    4464.5    7586.3 
   4598.2    2609.0    3437.7    5095.2    4176.6    3069.3    3359.8    3385.9    2840.2    1509.5    4094.3    3932.1    4298.4    4617.0    7352.0 
   4742.7    2894.4    3580.9    5426.5    4130.5    3189.1    3522.3    3757.8    3009.3    1620.4    4342.9    3968.3    4393.2    4756.1    7623.1 
   4789.8    3091.4    3662.1    5722.4    4188.0    3249.3    3665.5    3979.3    3132.6    1724.4    4445.9    4136.1    4527.2    4810.4    7637.1 
   4775.9    3274.1    3703.3    5692.9    4348.1    3369.2    3845.2    4151.8    3281.3    1834.5    4513.7    4217.2    4696.9    4882.8    7622.3 
   4902.1    3383.5    3673.1    5644.8    4443.7    3359.4    3899.6    4249.4    3420.1    1924.0    4435.5    4141.9    4689.6    4870.3    7447.6 
   5093.6    3466.2    3768.0    5739.0    4714.5    3530.6    3971.2    4515.0    3620.2    2079.6    4586.4    4316.8    4807.4    5036.4    7752.6 
   5193.4    3733.4    3948.9    5788.8    4957.3    3823.1    4209.7    4867.1    3826.5    2332.3    4912.5    4527.7    5044.7    5301.1    7773.4 
   5194.9    3917.2    4132.8    5848.8    5240.0    4086.6    4396.6    5026.0    4119.8    2648.1    4861.9    4772.2    5305.5    5436.4    7852.0 
   5306.3    3980.6    4331.6    6148.3    5492.4    4179.7    4606.8    5201.7    4351.5    2808.5    5121.5    4874.0    5574.0    5448.5    8142.6 
   5562.3    4118.4    4488.0    6347.1    5484.8    4286.2    4769.1    5294.1    4552.1    3072.6    5236.0    5019.4    5822.3    5644.2    8368.7 
   5839.7    4339.6    4756.9    6646.9    5946.8    4485.8    5027.4    5591.5    4635.2    3442.1    5594.6    5232.7    6317.7    5415.1    8738.6 
   5987.8    4439.7    4884.0    6960.4    6168.2    4707.3    5219.4    5832.6    4751.0    3579.0    5808.4    5465.9    6603.8    6000.6    9141.6 
   6112.5    4666.5    5006.4    7296.8    6285.6    4801.1    5446.9    5950.2    4998.3    3917.4    5889.2    5628.3    6732.4    6082.6    9497.3 
   6315.0    4787.3    5173.7    7375.8    6444.2    4879.7    5658.6    5929.8    5314.3    4263.1    6130.5    5471.9    6865.5    6227.6    9605.7 
   6614.2    4974.9    5373.2    7646.4    6661.8    4969.6    5856.0    6237.0    5622.4    4760.8    6458.3    6009.6    7165.4    6458.1    9908.3 
   6955.7    5263.4    5717.2    7945.7    7048.2    5448.3    6214.6    6638.3    5929.7    5274.7    6794.3    6227.5    7298.1    6510.9   10095.3 
   7201.6    5614.4    6064.1    8038.6    7135.2    5878.1    6511.6    6913.3    6199.3    5710.4    7094.0    6309.8    7696.7    6641.5    9977.8 
   7348.8    5876.5    6263.3    8395.5    7275.3    5993.7    6800.1    7038.0    6261.3    5876.6    7302.9    6554.7    7932.4    6797.0   10196.6 
   7565.1    6209.7    6567.4    8769.7    7615.5    6412.1    7138.6    7289.9    6412.6    6280.5    7468.7    6840.3    7894.8    6927.5   10627.3 
   7766.4    6486.6    6934.5    9328.2    7844.8    6804.9    7461.9    7594.7    6811.6    6619.3    7754.3    7071.7    8288.5    7440.8   11055.7 
   7815.1    6739.2    7197.8    9617.1    7728.4    6974.9    7648.8    7606.9    7024.1    6452.2    8001.3    7384.9    8529.1    7381.4   10798.6 
   7890.6    6669.9    7075.7    9723.7    7661.5    7025.2    7619.1    7511.9    6731.6    6536.4    7930.4    7654.2    8713.8    7335.0   10587.0 
   8025.0    6983.9    7454.2   10187.0    8141.8    7014.5    7995.0    7959.8    7088.7    6776.3    8263.1    8134.7    8774.2    7612.1   10999.7 
   8072.8    7289.1    7482.3   10437.7    8241.5    7008.0    8201.7    8208.7    7193.6    7066.3    8405.5    8405.1    8602.7    7697.0   11377.9 
   8213.9    7336.1    7679.2   10818.1    8346.1    7145.1    8439.8    8457.0    7360.9    7359.4    8557.1    8743.8    8721.6    7974.4   11838.3 
   8394.7    7692.7    7834.5   11140.3    8609.2    7653.9    8675.8    8790.1    7699.6    7676.6    8703.6    9163.9    9046.3    8137.0   11945.6 
   8483.1    7924.0    8163.6   11182.1    8571.3    8032.0    8773.0    8891.9    7981.6    7955.4    8710.2    9502.9    9174.1    7956.4   11804.0 
   8567.3    7901.1    8053.1   11413.7    8494.1    8128.4    8827.1    8891.1    8061.0    8201.2    8582.7    9563.3    9136.4    7807.2   12115.4 
   8467.9    7977.6    8168.4   10916.8    8750.5    8388.3    9002.0    8837.4    8061.5    8376.9    8425.8    9571.9    9198.2    7894.4   11695.3 
   8529.7    8173.0    8177.7   11147.5    8989.2    8567.7    9022.8    9002.1    8071.4    8582.3    8514.9    9966.2    9421.4    8164.5   12049.0 
   8869.4    8285.1    8351.7   11741.1    9299.9    8809.8    9111.4    9285.6    8332.0    8955.6    8747.3   10513.8    9782.1    8315.1   12774.3 
   9178.9    8506.9    8469.5   12125.0    9690.6    9079.5    9227.0    9552.4    8541.8    9301.8    8913.3   11054.1    9979.8    8605.1   13048.0 
   9338.9    8649.0    8618.5   12402.0   10000.1    9261.7    9384.0    9786.2    8762.4    9470.8    9073.7   11481.0   10070.6    8832.5   13305.6 
   9501.4    8771.5    8717.6   12847.0    9906.1    9543.5    9484.1    9913.4    8982.7    9820.2    9169.2   11625.5   10286.1    9138.8   13562.9 

