"kreis","name","land","afd_prozent","lohn_prozent","linke_prozent"
"09279","Dingolfing-Landau","BY",0.136105476673428,0.129,0.0177761386686336
"09361","Amberg, Stadt","BY",0.114587458745875,0.161,0.0296149614961496
"09362","Regensburg, Stadt","BY",0.069490945526528,0.125,0.0506488428358464
"09363","Weiden i.d.OPf., Stadt","BY",0.114069273547314,0.202,0.0311336865612821
"09371","Amberg-Sulzbach","BY",0.107314725697786,0.13,0.0231592877767084
"09372","Cham","BY",0.137363461394256,0.219,0.0168220561401755
"09373","Neumarkt i.d.OPf.","BY",0.0977448974737143,0.143,0.0223845092535325
"09374","Neustadt a.d.Waldnaab","BY",0.115479831076161,0.174,0.0191900069575911
"09375","Regensburg","BY",0.100896417625152,0.149,0.0226246580759978
"09376","Schwandorf","BY",0.131542957979486,0.178,0.0215617072901732
"09377","Tirschenreuth","BY",0.108303400760392,0.18,0.0195979582834457
"09461","Bamberg, Stadt","BY",0.0773936481893824,0.176,0.0525958045236142
"09462","Bayreuth, Stadt","BY",0.0722993157945456,0.143,0.0377517586971186
"09463","Coburg, Stadt","BY",0.078227027027027,0.199,0.0381837837837838
"09464","Hof, Stadt","BY",0.112146696722733,0.226,0.0311687185711809
"09471","Bamberg","BY",0.126628886443345,0.161,0.0213310843472626
"09472","Bayreuth","BY",0.0966347548592979,0.186,0.0190310414853496
"09473","Coburg","BY",0.10813783652199,0.238,0.0237841931586635
"09474","Forchheim","BY",0.0897339704353091,0.154,0.0236543853413893
"09475","Hof","BY",0.114092301610831,0.201,0.0212471588101591
"09476","Kronach","BY",0.112316587197383,0.212,0.0201782876097022
"09477","Kulmbach","BY",0.102647090344015,0.147,0.0232772478833994
"09478","Lichtenfels","BY",0.114525804608646,0.216,0.0207579508665016
"09479","Wunsiedel i.Fichtelgebirge","BY",0.11975772091845,0.231,0.0238363925289606
"09561","Ansbach, Stadt","BY",0.112240748271655,0.184,0.0362839455966743
"09562","Erlangen, Stadt","BY",0.0538668287844367,0.081,0.051707036124532
"09563","Fürth, Stadt","BY",0.0861711669914324,0.175,0.0517923973895023
"09564","Nürnberg, Stadt","BY",0.0784640206005309,0.186,0.0509290903021729
"09565","Schwabach, Stadt","BY",0.0883344863369076,0.192,0.0304392943618125
"09571","Ansbach","BY",0.100650583053062,0.171,0.0246815497470936
"09572","Erlangen-Höchstadt","BY",0.0791908758338713,0.124,0.027669237651909
"09573","Fürth","BY",0.0883408131114553,0.213,0.0273640732356329
"09574","Nürnberger Land","BY",0.0801752767527675,0.144,0.0276014760147601
"09575","Neustadt a.d.Aisch-Bad Windsheim","BY",0.0956384993099907,0.183,0.0268301293366283
"09576","Roth","BY",0.0904583205167641,0.166,0.0240910489080283
"09577","Weißenburg-Gunzenhausen","BY",0.0920587101972186,0.154,0.0228570427715697
"09661","Aschaffenburg, Stadt","BY",0.0923312224965118,0.178,0.037082751958785
"09662","Schweinfurt, Stadt","BY",0.122009096302155,0.129,0.050662448091754
"09663","Würzburg, Stadt","BY",0.0591517568162399,0.125,0.053960280676316
"09671","Aschaffenburg","BY",0.0938321887784921,0.202,0.0245287843366452
"09672","Bad Kissingen","BY",0.101294071832969,0.171,0.0281131114639188
"09673","Rhön-Grabfeld","BY",0.0999689054726368,0.147,0.0288013059701493
"09674","Haßberge","BY",0.11667441278467,0.132,0.026116334775303
"09675","Kitzingen","BY",0.0878020979892785,0.173,0.0270352098879766
"09676","Miltenberg","BY",0.0921255722694572,0.185,0.0231916285153695
"09677","Main-Spessart","BY",0.0841668401013675,0.125,0.0234075633852821
"09678","Schweinfurt","BY",0.101049747770768,0.161,0.0280415684311737
"09679","Würzburg","BY",0.070570113543079,0.144,0.0263704031655552
"09761","Augsburg, Stadt","BY",0.0880833157699659,0.145,0.0474719652318001
"09762","Kaufbeuren, Stadt","BY",0.109898331939615,0.218,0.0354297786188988
"09763","Kempten (Allgäu), Stadt","BY",0.0957674340068667,0.144,0.0369223841954185
"09764","Memmingen, Stadt","BY",0.112094942283622,0.143,0.0307820685179176
"09771","Aichach-Friedberg","BY",0.0974458340672891,0.134,0.0176501673419059
"09772","Augsburg","BY",0.0980180367762841,0.157,0.0218757726793592
"09773","Dillingen a.d.Donau","BY",0.12685780541794,0.13,0.0187800850286357
"09774","Günzburg","BY",0.126149197899432,0.143,0.0212071074023452
"09775","Neu-Ulm","BY",0.109083786904173,0.139,0.0264617351146297
"09776","Lindau (Bodensee)","BY",0.0708921848022799,0.146,0.0324090445780376
"09777","Ostallgäu","BY",0.0841715976331361,0.155,0.0237938097405553
"09778","Unterallgäu","BY",0.117236330874486,0.121,0.0204516020046174
"09779","Donau-Ries","BY",0.0954542673600489,0.137,0.0185622514530437
"09780","Oberallgäu","BY",0.0768125687736887,0.187,0.0221400334189184
"10041","Regionalverband Saarbrücken","SL",0.0949792348988757,0.194,0.088001260537304
