Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01057;Plön;105784;85907;1106;84801;24314;25564;5129;7884;2405;14604;0;1668;1364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1799;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;721;85186;20231;23893;5385;10131;2716;16144;0;824;846;892;95;0;62;56;0;0;0;15;0;0;22;0;0;57;0;39;0;1459;0;0;0;0;0;37;0;0;1967;154;0;161
SH;01058;Rendsburg-Eckernförde;220053;177253;1522;175731;51985;53776;10785;14045;4778;27241;0;1782;2328;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;10;2669;0;0;0;0;0;0;6281;0;0;43;0;0;0;0;0;0;0;0;1191;176062;42104;47079;11195;21097;5615;32441;0;1276;1735;1863;165;0;131;134;0;0;0;38;0;0;26;0;0;148;0;74;0;2544;0;0;0;0;0;53;0;0;7777;281;0;286
SH;01059;Schleswig-Flensburg;162234;128834;1067;127767;33780;28443;7087;9047;3689;32156;0;1870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;2335;0;0;0;0;0;134;9099;0;0;0;0;0;0;0;0;0;0;0;1027;127807;29269;33028;7561;14409;4322;21004;0;1368;1106;1353;110;0;92;101;0;0;0;10;0;0;23;0;0;96;0;73;0;2024;0;0;0;0;0;59;0;0;11390;193;0;216
SH;01060;Segeberg;214326;169804;1505;168299;47352;53275;12410;18730;5192;21528;0;4044;2669;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;3008;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;1205;168599;38390;47942;12855;23761;5327;26743;0;2092;1986;2317;225;0;152;185;0;0;0;23;0;0;46;0;0;144;0;106;0;2480;0;0;0;0;0;54;0;0;2937;480;0;354
SH;01061;Steinburg;104591;80844;739;80105;23593;23570;5856;10428;2611;10661;0;1619;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;0;0;0;1295;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;663;80181;19168;22579;6398;10384;2856;12234;0;1045;799;1000;95;0;73;170;0;0;0;12;0;0;20;0;0;78;0;48;0;1065;0;0;0;0;0;33;0;0;1764;208;0;152
SH;01062;Stormarn;188553;154388;1166;153222;42301;47625;9694;16182;4304;26276;0;2511;2093;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;2140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;938;153450;35377;43078;10153;22141;4954;28036;0;1353;1369;1702;167;0;178;135;0;0;0;17;0;0;48;0;0;143;0;86;0;1814;0;0;0;0;0;28;0;0;1626;561;0;484
HH;02000;Hamburg, Freie und Hansestadt;1298792;1011044;7720;1003324;179572;334831;49828;84603;72507;237328;0;6743;6585;0;643;3419;3666;0;0;0;0;962;0;0;0;0;0;0;0;0;17259;0;0;0;0;0;179;0;0;0;4476;0;0;0;0;0;0;0;723;5500;1005544;155220;298342;50537;114602;67578;250532;0;5601;10147;12325;648;4377;2016;1219;0;0;0;348;0;0;532;0;0;1203;0;1341;0;13961;0;0;0;386;0;248;0;0;0;8952;0;5429
NI;03101;Braunschweig, Stadt;187721;140807;1254;139553;31276;51220;8045;9816;5352;28214;0;1194;0;0;0;0;352;630;0;0;0;101;0;0;0;0;0;0;0;0;1640;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;1633;1513;139294;25929;42377;8238;14046;6355;33401;0;844;1652;1567;101;785;180;280;0;0;0;52;0;0;33;0;0;189;0;81;0;1444;0;0;0;0;0;53;0;0;0;675;0;1012
NI;03102;Salzgitter, Stadt;70766;47284;584;46700;11913;18133;6354;2935;1998;3814;0;658;0;0;0;358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;462;46822;10133;17898;6308;3891;1619;4156;0;476;400;647;89;189;16;28;0;0;0;11;0;0;2;0;0;23;0;24;0;356;0;0;0;0;0;5;0;0;0;480;0;71
NI;03103;Wolfsburg, Stadt;86936;62048;811;61237;15784;25670;5756;4958;1827;5628;0;943;0;0;0;0;279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392;715;61333;14984;21099;5713;6453;1685;7818;0;475;536;712;58;242;125;46;0;0;0;17;0;0;15;0;0;56;0;45;0;716;0;0;0;0;0;22;0;0;0;271;0;245
NI;03151;Gifhorn;136111;103084;1001;102083;27010;41828;10443;6945;2230;9766;0;1140;0;1415;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;1034;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;152;1051;102033;24790;34453;10695;10559;2443;13389;0;874;933;1314;95;391;160;63;0;0;0;16;0;0;17;0;0;67;0;65;0;1206;0;0;0;0;0;59;0;0;0;243;0;201
NI;03153;Goslar;105461;75624;921;74703;21935;27762;6773;5121;2447;8285;0;1216;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;635;74989;17512;27833;6926;7204;2401;8892;0;733;624;1123;131;260;42;49;0;0;0;8;0;0;17;0;0;51;0;39;0;762;0;0;0;0;0;21;0;0;0;205;0;156
NI;03154;Helmstedt;72509;52642;640;52002;14472;21973;4844;3572;1423;4418;0;854;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;587;52055;12989;18663;4785;5023;1502;5938;0;473;485;821;119;220;64;31;0;0;0;6;0;0;16;0;0;57;0;49;0;632;0;0;0;0;0;13;0;0;0;82;0;87
NI;03155;Northeim;106551;79174;736;78438;26574;29879;5953;4505;1946;7666;0;934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;682;78492;18413;30363;6305;7971;2269;9452;0;592;578;926;89;238;49;47;0;0;0;11;0;0;10;0;0;63;0;36;0;820;0;0;0;0;0;13;0;0;0;127;0;120
NI;03157;Peine;104557;79489;739;78750;17380;36991;6642;5029;1714;7255;0;1260;0;1405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;55;876;78613;16903;30045;7096;7276;2013;10296;0;933;667;1158;102;318;39;58;0;0;0;15;0;0;16;0;0;71;0;68;0;908;0;0;0;0;0;20;0;0;0;367;0;244
NI;03158;Wolfenbüttel;95700;74686;899;73787;20880;27884;5384;4988;2906;9295;0;686;0;0;0;685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;817;73869;17451;25837;5517;7296;2201;11332;0;591;691;1123;110;311;61;64;0;0;0;9;0;0;13;0;0;57;0;49;0;754;0;0;0;0;0;25;0;0;0;218;0;159
NI;03159;Göttingen;248367;186120;2690;183430;50913;60874;1820;16725;8585;39097;0;339;0;0;0;0;0;0;0;0;0;232;0;0;329;0;0;0;0;0;3747;0;0;0;0;0;767;0;0;0;0;0;0;0;0;0;0;0;2;1858;184262;40386;60846;11700;17898;8706;34926;0;1489;1851;2018;200;641;148;139;0;0;0;54;0;0;73;0;0;191;0;116;0;1840;0;0;0;0;0;80;0;0;0;427;0;533
NI;03241;Region Hannover;836679;628389;5519;622870;154405;222852;40344;43528;20128;110403;0;3700;7377;9163;0;3832;138;0;0;0;0;260;0;0;0;0;0;287;0;0;6195;0;0;0;0;0;142;0;0;0;0;0;0;0;0;0;0;0;116;6559;621830;131088;197115;41575;64440;24097;127756;0;4138;5653;8051;445;3009;451;530;0;0;0;196;0;0;221;0;0;678;0;339;0;5846;0;0;0;0;0;151;0;0;0;3697;0;2354
NI;03251;Diepholz;169814;128511;1258;127253;42417;40845;8362;12158;3567;17494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619;855;127656;31933;42224;8958;15642;3467;18683;0;1167;1083;1540;97;397;106;92;0;0;0;20;0;0;10;0;0;101;0;71;0;1456;0;0;0;0;0;36;0;0;0;379;0;194
NI;03252;Hameln-Pyrmont;115347;82558;807;81751;20873;34915;7016;5416;2408;8741;0;1121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;791;81767;18497;29011;7261;8274;2408;11682;0;673;634;1190;84;274;36;63;0;0;0;8;0;0;15;0;0;64;0;56;0;1086;0;0;0;0;0;19;0;0;0;294;0;138
NI;03254;Hildesheim;215131;161685;1676;160009;41230;61857;11387;11507;5481;22973;0;1420;0;0;0;1506;264;0;0;0;0;0;0;0;0;0;0;0;0;0;2153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;1907;159778;36504;55439;12161;15397;5308;26565;0;1054;1432;2030;160;793;143;125;0;0;0;32;0;0;37;0;0;99;0;115;0;1628;0;0;0;0;0;31;0;0;0;416;0;309
NI;03255;Holzminden;55262;40152;445;39707;10182;17117;3479;3044;953;3728;0;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402;39750;9072;15117;3592;4430;991;4505;0;372;268;527;56;156;26;27;0;0;0;1;0;0;6;0;0;40;0;23;0;365;0;0;0;0;0;9;0;0;0;112;0;55
NI;03256;Nienburg (Weser);94052;68171;670;67501;22927;22039;5416;4593;1427;8639;0;630;0;880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;561;67610;17681;22978;5828;6883;1783;8886;0;567;603;894;78;299;26;33;0;0;0;8;0;0;5;0;0;57;0;36;0;733;0;0;0;0;0;15;0;0;0;93;0;124
